"","orig","elevation","aspect","slope","av","swb","sprppt","sumppt","autppt","winppt","sprtmp","sumtmp","auttmp","wintmp","sprpet","sumpet","autpet","winpet","sprrad","sumrad","autrad","avetmp","ffd","dday","tcol"
"shosh.134","1V90P013",6830,350,38,0.88,-315,39.8,33.42,34.18,35.79,4.06,9.63,-1.04,-4.79,58.94,104.11,11.61,0,21018.42,20436.98,7803.85,2.6,210,1837,-8.7
"shosh.135","5V96K201",10120,324,25,0.7,-120,47.39,32.16,44.6,46.05,1.03,6.81,-3.17,-5.89,27.08,62.29,2.87,0,16983.37,16201.28,2839.86,-0.39,172,1106,-9.95
"shosh.136","4V90P034",9120,306,5,0.55,175,63.22,52.9,59.85,65.28,2.01,7.55,-3.21,-6.06,37.92,88.19,8.41,0,21728.27,21203.07,9078.57,0.06,181,1287,-10.8
"shosh.137","1V96M085",7120,10,2,0.97,-48,48.01,31.76,29.89,32.78,3.51,9,-1.54,-4.97,52.26,93.28,8.85,0,19955.49,19339.78,6413.75,1.94,203,1672,-8.7
"shosh.138","1V91H003",7083,65,2,0.91,-191,39.35,33.13,33.68,34.15,4.15,9.69,-0.92,-4.77,59.5,104.09,11.61,0,20868.36,20298.09,7451.72,2.6,212,1861,-8.7
"shosh.139","5V96I115",9065,293,34,0.44,36,45.08,33.13,45.02,49.13,1.53,7.27,-3.11,-6.16,34.41,81.88,7.64,0,20813.41,20257.17,7879.42,-0.13,177,1212,-10.29
"shosh.140","1V93R339",9170,5,36,0.95,-69,63.76,44.45,49.71,56.74,1.38,7.1,-2.88,-5.37,30.68,72.64,5.16,0,18818.61,18179.03,5286.56,0.01,175,1166,-8.99
"shosh.141","1V90N007",7220,85,20,0.79,-277,46.87,30.8,28.85,31.11,3.68,9.31,-1.26,-4.57,54.81,99.31,10.46,0,20654.85,20078.89,7418.66,2.3,206,1734,-8.1
"shosh.142","4V95G002",7600,319,65,0.66,-107,48.76,37.95,40.04,41.74,3.8,9.52,-1.39,-4.94,44.98,77.2,5.3,0,15974.02,15310.07,3079.97,2.23,206,1774,-9.03
"shosh.143","4V90P045",8700,360,60,0.93,1,56.24,45.59,49.31,53.41,2.81,8.41,-2.38,-5.48,35.87,64.23,2.67,0,14678.07,14010.42,2231.16,1.09,192,1496,-9.71
"shosh.144","5V96I014",8435,75,44,0.85,-27,39.22,28.08,42.71,47.11,2.01,7.83,-2.9,-6.37,37.55,87.82,8.61,0,21000.09,20454.36,8222.19,0.13,183,1341,-10.64
"shosh.145","1V901050",9100,110,35,0.59,-102,64.07,37.81,40.71,48.32,1.27,6.78,-3.25,-5.93,31.01,75.3,6.34,0,20085.35,19543.64,7636.47,-0.3,174,1114,-10.1
"shosh.146","4V96M009",6600,328,55,0.73,-331,36.34,22.73,17.24,15.1,5.47,11.39,0.5,-3.55,62.39,102.4,9.41,0,18088.81,17509.12,4808.15,4.56,231,2289,-7.33
"shosh.147","1V96M053",7800,320,25,0.67,-188,51.03,33.61,32.98,36.51,3.07,8.66,-1.78,-4.9,44.46,80.96,6.3,0,17993.82,17368.48,4444.61,1.6,198,1566,-8.51
"shosh.148","4V95S039",6950,7,2,0.96,-400,41.44,29.69,25,23.63,4.98,10.97,0.32,-3.69,63.39,107.81,12.27,0,19809.52,19130.7,6789.17,4.1,226,2162,-7.3
"shosh.149","5V96I140",8260,2,12,0.94,-34,37.67,26.56,44.8,50.18,2.16,7.9,-2.89,-6.51,38.21,86.76,7.63,0,20469.24,19874.05,7028.54,0.11,185,1368,-10.9
"shosh.150","5V96I452",8950,210,20,0,-254,43.1,33.31,35.52,36.7,1.99,7.71,-2.56,-5.48,38.22,92.8,10.26,0,22427.08,21982.82,10833.08,0.47,183,1314,-9.14
